Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
BANCO ABC BRASIL S/A;BANCO ABC BRASIL S/A;ATIVO;20958;BANCOS
BANCO AGIBANK S.A.;BANCO AGIBANK S.A.;CANCELADA;24465;INTERMEDIAÇÃO FINANCEIRA
BANCO AGRIMISA SA;BANCO AGRIMISA SA;CANCELADA;779;BANCOS
BANCO ALFA DE INVESTIMENTO SA;BANCO ALFA DE INVESTIMENTO SA;ATIVO;1384;BANCOS
BANCO ALVORADA S.A.;BANCO ALVORADA S.A.;CANCELADA;15512;BANCOS
BANCO BAMERINDUS BRASIL SA;BANCO BAMERINDUS BRASIL SA;CANCELADA;825;BANCOS
BANCO BANDEIRANTES DE INVESTIMENTOS SA;BANCO BANDEIRANTES DE INVESTIMENTOS SA;CANCELADA;833;BANCOS
BANCO BANEB SA;BANCO BANEB SA;CANCELADA;1066;BANCOS
BANCO BANESTADO SA;BANCO BANESTADO SA;CANCELADA;1180;BANCOS
BANCO BANORTE SA EM LIQUIDAÇÃO EXTRAJUDICIAL;BANCO BANORTE SA EM LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA;1473;BANCOS
BANCO BCN S.A.;BANCO BCN S.A.;CANCELADA;957;BANCOS
BANCO BEA SA;BANCO BEA SA;CANCELADA;1139;BANCOS
BANCO BEG S.A.;BANCO BEG S.A.;CANCELADA;1074;BANCOS
BANCO BMG S/A;BANCO BMG S/A;CANCELADA;1716;BANCOS
BANCO BMG S/A;BANCO BMG S/A;ATIVO;24600;BANCOS
BANCO BOAVISTA INTERATLÂNTICO S.A.;BANCO BOAVISTA INTERATLÂNTICO S.A.;CANCELADA;850;BANCOS
BANCO BOCOM BBM S.A.;BANCO BOCOM BBM S.A.;CANCELADA;930;BANCOS
BANCO BONSUCESSO S.A.;BANCO BONSUCESSO S.A.;CANCELADA;20869;BANCOS
BANCO BRADESCO BBI S.A.;BANCO BRADESCO BBI S.A.;CANCELADA;1163;BANCOS
BANCO BRADESCO BERJ S.A.;BANCO BRADESCO BERJ S.A.;CANCELADA;1201;BANCOS
BANCO BRADESCO S.A.;BANCO BRADESCO S.A.;ATIVO;906;BANCOS
BANCO BTG PACTUAL S/A;BANCO BTG PACTUAL S/A;ATIVO;22616;BANCOS
BANCO CACIQUE SA;BANCO CACIQUE SA;CANCELADA;11380;BANCOS
BANCO COMERCIAL BANCESA S.A.;BANCO COMERCIAL BANCESA S.A.;CANCELADA;1031;BANCOS
BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.;BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.;CANCELADA;787;BANCOS
BANCO CREDITO REAL DE MG SA;BANCO CREDITO REAL DE MG SA;CANCELADA;949;BANCOS
BANCO CREFISUL S.A.;BANCO CREFISUL S.A.;CANCELADA;795;BANCOS
BANCO DA AMAZÔNIA S.A.;BANCO DA AMAZÔNIA S.A.;ATIVO;922;INTERMEDIAÇÃO FINANCEIRA
BANCO DAYCOVAL S.A.;BANCO DAYCOVAL S.A.;ATIVO;20796;BANCOS
BANCO DE PERNAMBUCO S.A. - BANDEPE;BANCO DE PERNAMBUCO S.A. - BANDEPE;CANCELADA;1090;BANCOS
BANCO DESENV ESTADO BAHIA SA;BANCO DESENV ESTADO BAHIA SA;CANCELADA;981;BANCOS
BANCO DO BRASIL S.A.;BANCO DO BRASIL S.A.;ATIVO;1023;BANCOS
BANCO DO ESTADO DE MATO GROSSO S.A.;BANCO DO ESTADO DE MATO GROSSO S.A.;CANCELADA;12467;BANCOS
BANCO DO ESTADO DE SANTA CATARINA S/A - BESC;BANCO DO ESTADO DE SANTA CATARINA S/A - BESC;CANCELADA;1104;BANCOS
BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA;BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA;CANCELADA;1112;BANCOS
BANCO DO ESTADO DE SERGIPE SA;BANCO DO ESTADO DE SERGIPE SA;ATIVO;1120;BANCOS
BANCO DO ESTADO DO PARÁ S/A.;BANCO DO ESTADO DO PARÁ S/A.;ATIVO;1171;BANCOS
BANCO DO ESTADO DO PIAUÍ S.A. - BEP;BANCO DO ESTADO DO PIAUÍ S.A. - BEP;CANCELADA;1198;BANCOS
BANCO DO ESTADO DO RIO GRANDE DO SUL SA;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;ATIVO;1210;BANCOS
BANCO DO NORDESTE DO BRASIL SA;BANCO DO NORDESTE DO BRASIL SA;ATIVO;1228;BANCOS
BANCO DO PROGRESSO S.A.;BANCO DO PROGRESSO S.A.;CANCELADA;1236;BANCOS
BANCO ECONOMICO SA - EM LIQUIDAÇÃO EXTRAJUDICIAL;BANCO ECONOMICO SA - EM LIQUIDAÇÃO EXTRAJUDICIAL;ATIVO;1244;BANCOS
BANCO FENICIA SA;BANCO FENICIA SA;CANCELADA;1252;BANCOS
BANCO FININVEST SA;BANCO FININVEST SA;CANCELADA;6092;BANCOS
BANCO INDUSTRIAL DO BRASIL;BANCO INDUSTRIAL DO BRASIL;CANCELADA;21377;BANCOS
BANCO INDUSVAL S.A.;BANCO INDUSVAL S.A.;ATIVO;20885;BANCOS
BANCO INTER S.A.;BANCO INTER S.A.;ATIVO;24406;BANCOS
BANCO ITABANCO S/A;BANCO ITABANCO S/A;CANCELADA;914;BANCOS
BANCO ITAU BBA  S.A.;BANCO ITAU BBA  S.A.;CANCELADA;1082;BANCOS
BANCO ITAULEASING S.A.;BANCO ITAULEASING S.A.;CANCELADA;3590;BANCOS
BANCO MERCANTIL BRASIL SA;BANCO MERCANTIL BRASIL SA;ATIVO;1325;BANCOS
BANCO MERCANTIL DE INVESTIMENTOS S.A.;BANCO MERCANTIL DE INVESTIMENTOS S.A.;ATIVO;1309;BANCOS
BANCO MERCANTIL DE SÃO PAULO SA;BANCO MERCANTIL DE SÃO PAULO SA;CANCELADA;1317;BANCOS
BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;ATIVO;1350;BANCOS
BANCO NOSSA CAIXA S/A;BANCO NOSSA CAIXA S/A;CANCELADA;19828;BANCOS
BANCO PAN SA;BANCO PAN SA;ATIVO;21199;BANCOS
BANCO PINE S/A;BANCO PINE S/A;ATIVO;20567;BANCOS
BANCO RCI BRASIL S.A.;BANCO RCI BRASIL S.A.;ATIVO;21466;BANCOS
BANCO REAL SA;BANCO REAL SA;CANCELADA;1392;BANCOS
BANCO SAFRA S/A;BANCO SAFRA S/A;CANCELADA;1406;BANCOS
BANCO SANTANDER (BRASIL) S.A.;BANCO SANTANDER (BRASIL) S.A.;ATIVO;20532;BANCOS
BANCO SANTANDER NOROESTE SA;BANCO SANTANDER NOROESTE SA;CANCELADA;1368;BANCOS
BANCO SANTANDER S.A.;BANCO SANTANDER S.A.;CANCELADA;868;
BANCO SOFISA SA;BANCO SOFISA SA;CANCELADA;20680;BANCOS
BANCO SUDAMERIS BRASIL SA;BANCO SUDAMERIS BRASIL SA;CANCELADA;1422;BANCOS
BANCO ÚNICO S.A.;BANCO ÚNICO S.A.;CANCELADA;1015;BANCOS
BANCOCIDADE LEASING ARR MERC SA;BANCOCIDADE LEASING ARR MERC SA;CANCELADA;7994;ARRENDAMENTO MERCANTIL
BANEB LEASING SA ARREND MERC;BANEB LEASING SA ARREND MERC;CANCELADA;15628;ARRENDAMENTO MERCANTIL
BANESTADO LEASING SA ARR MERC;BANESTADO LEASING SA ARR MERC;CANCELADA;12017;ARRENDAMENTO MERCANTIL
BANESTADO SA CRED FIN E INV;BANESTADO SA CRED FIN E INV;CANCELADA;1457;BANCOS
BANESTES LEASING SA ARR MERC;BANESTES LEASING SA ARR MERC;CANCELADA;15245;ARRENDAMENTO MERCANTIL
BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO;BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO;ATIVO;1155;BANCOS
BANEX S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;BANEX S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;CANCELADA;8176;INTERMEDIAÇÃO FINANCEIRA
BANFORT-BANCO FORTALEZA S.A.;BANFORT-BANCO FORTALEZA S.A.;CANCELADA;1376;BANCOS
BANKAMERICA COMERCIAL E PARTICIPAÇÕES S. A.;BANKAMERICA COMERCIAL E PARTICIPAÇÕES S. A.;CANCELADA;8990;
BANKBOSTON COMPANHIA HIPOTECÁRIA;BANKBOSTON COMPANHIA HIPOTECÁRIA;CANCELADA;16500;BANCOS
BANORTE BANCO INVEST SA;BANORTE BANCO INVEST SA;CANCELADA;1465;BANCOS
BANORTE CRED FIN E INVEST SA;BANORTE CRED FIN E INVEST SA;CANCELADA;1481;BANCOS
BANORTE CRED IMOBILIARIO SA;BANORTE CRED IMOBILIARIO SA;CANCELADA;1490;CRÉDITO IMOBILIÁRIO
BANORTE LEASING ARRENDAMENTO MERCANTIL SA EM LIQUIDAÇÃO EXTRAJUDICIAL;BANORTE LEASING ARRENDAMENTO MERCANTIL SA EM LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA;14001;ARRENDAMENTO MERCANTIL
BANRISUL ARMAZENS GERAIS SA;BANRISUL ARMAZENS GERAIS SA;ATIVO;15822;SERVIçOS TRANSPORTE E LOGíSTICA
BANRISUL CARTÕES S.A.;BANRISUL CARTÕES S.A.;ATIVO;24554;BANCOS
BANRISUL S.A.  ADMINISTRADORA DE CONSÓRCIOS;BANRISUL S.A.  ADMINISTRADORA DE CONSÓRCIOS;CANCELADA;15130;BANCOS
BANYLSA TECELAGEM DO BRASIL SA;BANYLSA TECELAGEM DO BRASIL SA;CANCELADA;1503;TEXTIL E VESTUÁRIO
BAPTISTA DA SILVA PARTICIPAÇÕES E PROJETOS SA;BAPTISTA DA SILVA PARTICIPAÇÕES E PROJETOS SA;CANCELADA;12033;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BARBER GREENE BRASIL INDUSTRIA E COMERCIO SA;BARBER GREENE BRASIL INDUSTRIA E COMERCIO SA;CANCELADA;1511;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
BARDELLA SA INDS MECANICAS;BARDELLA SA INDS MECANICAS;ATIVO;1520;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
BARIGUI SECURITIZADORA SA;BARIGUI SECURITIZADORA SA;ATIVO;21920;SECURITIZAÇÃO DE RECEBÍVEIS
BARRETTO ARAUJO PROD CACAU SA;BARRETTO ARAUJO PROD CACAU SA;CANCELADA;11894;ALIMENTOS
BASEL PARTICIPAÇÕES S/A;BASEL PARTICIPAÇÕES S/A;CANCELADA;21601;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BASF BRAS SA INDS QUIMICAS;BASF BRAS SA INDS QUIMICAS;CANCELADA;1538;PETROQUíMICOS E BORRACHA
BATES SA;BATES SA;CANCELADA;1546;EMBALAGENS
BATTISTELLA ADM E PARTICIPAÇÕES S A;BATTISTELLA ADM E PARTICIPAÇÕES S A;ATIVO;15458;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BAUMER SA;BAUMER SA;ATIVO;1562;METALURGIA E SIDERURGIA
BB SEGURIDADE PARTICIPAÇÕES S.A.;BB SEGURIDADE PARTICIPAÇÕES S.A.;ATIVO;23159;EMP. ADM. PART. - SEGURADORAS E CORRETORAS
BB-LEASING SA ARRENDAMENTO MERCANTIL;BB-LEASING SA ARRENDAMENTO MERCANTIL;CANCELADA;13935;ARRENDAMENTO MERCANTIL
BBC ADM E PARTICIPAÇÃO-EM LIQUIDAÇÃO ORDINÁRIA;BBC ADM E PARTICIPAÇÃO-EM LIQUIDAÇÃO ORDINÁRIA;CANCELADA;892;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BBC LEASING ARREND MERCANTIL-EM LIQUIDAÇÃO ORDINÁRIA;BBC LEASING ARREND MERCANTIL-EM LIQUIDAÇÃO ORDINÁRIA;CANCELADA;14800;ARRENDAMENTO MERCANTIL
BBM LOGÍSTICA S.A.;BBM LOGÍSTICA S.A.;ATIVO;24660;SERVIçOS TRANSPORTE E LOGíSTICA
BBV LEASING BRASIL SA ARR MERC;BBV LEASING BRASIL SA ARR MERC;CANCELADA;14842;ARRENDAMENTO MERCANTIL
BCBF PARTICIPAÇÕES S.A.;BCBF PARTICIPAÇÕES S.A.;ATIVO;24775;EMP. ADM. PART. - SERVIçOS MéDICOS
BCO AUXILIAR SA;BCO AUXILIAR SA;CANCELADA;809;BANCOS
BCO BAMERINDUS INVS SA;BCO BAMERINDUS INVS SA;CANCELADA;817;BANCOS
BCO BRADESCO INVESTIMENTO SA;BCO BRADESCO INVESTIMENTO SA;CANCELADA;884;BANCOS
BCO CEDULA SA;BCO CEDULA SA;CANCELADA;2380;BANCOS
BCO CREDIPLAN SA;BCO CREDIPLAN SA;CANCELADA;973;BANCOS
BCO INV AMERICA SUL SA;BCO INV AMERICA SUL SA;CANCELADA;990;BANCOS
BCO MAISONNAVE DE INV SA;BCO MAISONNAVE DE INV SA;CANCELADA;1295;BANCOS
BCO NACIONAL INVS SA;BCO NACIONAL INVS SA;CANCELADA;1341;BANCOS
BCO SAVENA SA;BCO SAVENA SA;CANCELADA;1414;BANCOS
BCO SUL BRASILEIRO SA;BCO SUL BRASILEIRO SA;CANCELADA;1430;BANCOS
BCP S/A;BCP S/A;CANCELADA;18600;TELECOMUNICAÇÕES
BCR BCO CREDITO REAL SA;BCR BCO CREDITO REAL SA;CANCELADA;965;BANCOS
BELAPART SA;BELAPART SA;CANCELADA;16233;EMP. ADM. PART. - CRéDITO IMOBILIáRIO
BELEZA PARTICIPAÇÕES SA;BELEZA PARTICIPAÇÕES SA;CANCELADA;22632;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BELPRATO SA;BELPRATO SA;CANCELADA;13480;ALIMENTOS
BEMATECH  S/A;BEMATECH  S/A;CANCELADA;20656;COMUNICAÇÃO E INFORMÁTICA
BENZENEX SA ADUBOS E INSET;BENZENEX SA ADUBOS E INSET;CANCELADA;1635;PETROQUíMICOS E BORRACHA
BERNA PARTICIPAÇÕES SA;BERNA PARTICIPAÇÕES SA;CANCELADA;21563;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BESC SA ARRENDAMENTO MERCANTIL;BESC SA ARRENDAMENTO MERCANTIL;CANCELADA;15040;ARRENDAMENTO MERCANTIL
BETA SA INDUSTRIA E COMERCIO;BETA SA INDUSTRIA E COMERCIO;CANCELADA;1660;COMÉRCIO (ATACADO E VAREJO)
BETA SECURITIZADORA S/A;BETA SECURITIZADORA S/A;CANCELADA;19747;SECURITIZAÇÃO DE RECEBÍVEIS
BETAPART PARTICIPAÇÕES SA;BETAPART PARTICIPAÇÕES SA;ATIVO;17884;EMP. ADM. PART. - CRéDITO IMOBILIáRIO
BETUMARCO SA ENGENHARIA INDUSTRIA COMERCIO;BETUMARCO SA ENGENHARIA INDUSTRIA COMERCIO;CANCELADA;1678;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;BFB LEASING S.A. ARRENDAMENTO MERCANTIL;CANCELADA;6203;ARRENDAMENTO MERCANTIL
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;BFB LEASING S.A. ARRENDAMENTO MERCANTIL;CANCELADA;14052;ARRENDAMENTO MERCANTIL
BFC BANCO SA;BFC BANCO SA;CANCELADA;8796;BANCOS
BGPAR SA;BGPAR SA;CANCELADA;19500;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BHG S.A. - BRAZIL HOSPITALITY GROUP;BHG S.A. - BRAZIL HOSPITALITY GROUP;CANCELADA;20907;EMP. ADM. PART. - HOSPEDAGEM E TURISMO
BI CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS;BI CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS;CANCELADA;19704;SECURITIZAÇÃO DE RECEBÍVEIS
BICICLETAS MONARK SA;BICICLETAS MONARK SA;ATIVO;1694;BRINQUEDOS E LAZER
BIOBRAS SA;BIOBRAS SA;CANCELADA;1708;FARMACêUTICO E HIGIENE
BIOMM SA;BIOMM SA;ATIVO;19305;FARMACêUTICO E HIGIENE
BIOSEV S.A.;BIOSEV S.A.;ATIVO;22845;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
BIRMANN SA COM. E EMPREEND.;BIRMANN SA COM. E EMPREEND.;CANCELADA;493;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.;ATIVO;24317;ALIMENTOS
BLAU FARMACÊUTICA S.A.;BLAU FARMACÊUTICA S.A.;ATIVO;24627;FARMACêUTICO E HIGIENE
BLUE TREE HOTELS & RESORTS DO BRASIL SA;BLUE TREE HOTELS & RESORTS DO BRASIL SA;CANCELADA;17760;HOSPEDAGEM E TURISMO
BMD LEASING SA ARREND MERC;BMD LEASING SA ARREND MERC;CANCELADA;15229;ARRENDAMENTO MERCANTIL
BMG LEASING S.A. -  ARREND. MERCANTIL;BMG LEASING S.A. -  ARREND. MERCANTIL;CANCELADA;1724;ARRENDAMENTO MERCANTIL
BNC BRAZIL LTDA;BNC BRAZIL LTDA;CANCELADA;1007;BANCOS
BNDES PARTICIPAÇÕES S.A. - BNDESPAR;BNDES PARTICIPAÇÕES S.A. - BNDESPAR;ATIVO;16772;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BOAVISTA SA ARREND MERCANTIL;BOAVISTA SA ARREND MERCANTIL;CANCELADA;1759;ARRENDAMENTO MERCANTIL
BOAVISTA SA ARREND MERCANTIL;BOAVISTA SA ARREND MERCANTIL;CANCELADA;15172;ARRENDAMENTO MERCANTIL
BOAVISTA SA CRED FIN E INV;BOAVISTA SA CRED FIN E INV;CANCELADA;1732;BANCOS
BOCAIUVA TEXTIL SA;BOCAIUVA TEXTIL SA;CANCELADA;12270;TEXTIL E VESTUÁRIO
BOLERO PARTICIPAÇÕES SA;BOLERO PARTICIPAÇÕES SA;CANCELADA;22039;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BOLSA DE MERCADORIAS & FUTUROS - BM&F S/A;BOLSA DE MERCADORIAS & FUTUROS - BM&F S/A;CANCELADA;21210;BOLSAS DE VALORES/MERCADORIAS E FUTUROS
BOMBRIL HOLDING SA;BOMBRIL HOLDING SA;CANCELADA;15334;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BOMBRIL SA;BOMBRIL SA;ATIVO;12190;FARMACêUTICO E HIGIENE
BOMPREÇO BAHIA SA;BOMPREÇO BAHIA SA;CANCELADA;14435;EMP. ADM. PART. - COMéRCIO (ATACADO E VAREJO)
BOMPRECO SA SUPERMERCADO DO NE;BOMPRECO SA SUPERMERCADO DO NE;CANCELADA;15202;COMÉRCIO (ATACADO E VAREJO)
BOMPRECO TRUST RECEBIVEIS SA;BOMPRECO TRUST RECEBIVEIS SA;CANCELADA;15644;SERVICOS DIVERSOS
BONAIRE PARTICIPAÇÕES S.A.- EM LIQUIDAÇÃO;BONAIRE PARTICIPAÇÕES S.A.- EM LIQUIDAÇÃO;ATIVO;16560;EMP. ADM. PART. - ENERGIA ELéTRICA
BONATO SA COM E INDUSTRIA;BONATO SA COM E INDUSTRIA;CANCELADA;1775;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
BONFIGLIOLI COML CONSTRUT SA;BONFIGLIOLI COML CONSTRUT SA;CANCELADA;1783;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
BORBONITE SA IND DE BORRACHAS;BORBONITE SA IND DE BORRACHAS;CANCELADA;1791;PETROQUíMICOS E BORRACHA
BORELLA SA IND E COMERCIO;BORELLA SA IND E COMERCIO;CANCELADA;6238;ALIMENTOS
BORGHOFF SA;BORGHOFF SA;CANCELADA;1805;COMÉRCIO (ATACADO E VAREJO)
BORLEM SA EMPREEND INDUSTRIAIS;BORLEM SA EMPREEND INDUSTRIAIS;CANCELADA;1813;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
BOSFORO PARTICIPACOES SA;BOSFORO PARTICIPACOES SA;CANCELADA;14591;EMP. ADM. PARTICIPAÇÕES
BOSTON EXPORTADORA IMPORT SA;BOSTON EXPORTADORA IMPORT SA;CANCELADA;16160;COMÉRCIO EXTERIOR
BOTUCATU TÊXTIL S. A.;BOTUCATU TÊXTIL S. A.;CANCELADA;10987;TEXTIL E VESTUÁRIO
BOVESPA HOLDING SA;BOVESPA HOLDING SA;CANCELADA;21164;BOLSAS DE VALORES/MERCADORIAS E FUTUROS
BPMB I PARTICIPAÇÕES S.A.;BPMB I PARTICIPAÇÕES S.A.;CANCELADA;23108;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BR HOME CENTERS S.A.;BR HOME CENTERS S.A.;CANCELADA;23710;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
BR MALLS PARTICIPAÇOES S.A.;BR MALLS PARTICIPAÇOES S.A.;ATIVO;19909;EMP. ADM. PART. - COMéRCIO (ATACADO E VAREJO)
BR PROPERTIES S.A.;BR PROPERTIES S.A.;ATIVO;19925;EMP. ADM. PART. - SEM SETOR PRINCIPAL
BR TOWERS SPE1 S.A.;BR TOWERS SPE1 S.A.;CANCELADA;23205;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
BRADESCO BCN LEASING S/A ARR MERCANTIL;BRADESCO BCN LEASING S/A ARR MERCANTIL;CANCELADA;1600;ARRENDAMENTO MERCANTIL
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;CANCELADA;12386;ARRENDAMENTO MERCANTIL
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;CANCELADA;17027;ARRENDAMENTO MERCANTIL
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;ATIVO;19640;ARRENDAMENTO MERCANTIL
BRADESCO LEASING S.A. ARREND. MERCANTIL;BRADESCO LEASING S.A. ARREND. MERCANTIL;CANCELADA;7986;ARRENDAMENTO MERCANTIL
BRADESCO LEASING S.A. ARREND. MERCANTIL;BRADESCO LEASING S.A. ARREND. MERCANTIL;CANCELADA;13757;ARRENDAMENTO MERCANTIL
BRADESCO TURISMO SA ADM E SERV;BRADESCO TURISMO SA ADM E SERV;CANCELADA;1848;HOSPEDAGEM E TURISMO
BRADESPAR S/A;BRADESPAR S/A;ATIVO;18724;EMP. ADM. PART. - EXTRAçãO MINERAL
BRADESPLAN PARTICIPAÇOES SA;BRADESPLAN PARTICIPAÇOES SA;CANCELADA;18180;EMP. ADM. PART. - INTERMEDIAçãO FINANCEIRA
BRAFCO SA;BRAFCO SA;CANCELADA;14478;COMÉRCIO (ATACADO E VAREJO)
BRAFER INDL SA PRODS SIDERURG;BRAFER INDL SA PRODS SIDERURG;CANCELADA;1856;METALURGIA E SIDERURGIA
BRAMPAC SA;BRAMPAC SA;CANCELADA;7714;EMBALAGENS
BRASCAN IMOBILIARIA SA;BRASCAN IMOBILIARIA SA;CANCELADA;18147;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
BRASIL & MOVIMENTOS S/A;BRASIL & MOVIMENTOS S/A;CANCELADA;20109;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
BRASIL BELEM HOTEIS E TURISMO SA;BRASIL BELEM HOTEIS E TURISMO SA;CANCELADA;1937;HOSPEDAGEM E TURISMO
BRASIL BETON SA;BRASIL BETON SA;CANCELADA;13927;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
BRASIL BROKERS PARTICIPAÇÕES SA;BRASIL BROKERS PARTICIPAÇÕES SA;ATIVO;21180;EMP. ADM. PART. - CONST. CIVIL, MAT. CONST. E DECORAçãO
BRASIL CENTRAL HOTEIS E TUR SA;BRASIL CENTRAL HOTEIS E TUR SA;CANCELADA;1880;HOSPEDAGEM E TURISMO
BRASIL FERROVIAS S.A.;BRASIL FERROVIAS S.A.;CANCELADA;17353;SERVIçOS TRANSPORTE E LOGíSTICA
BRASIL OITICICA S/A;BRASIL OITICICA S/A;CANCELADA;13110;ALIMENTOS
BRASIL OLEOS INDUSTRIA COMERCIO SA BRASOLEO;BRASIL OLEOS INDUSTRIA COMERCIO SA BRASOLEO;CANCELADA;1899;ALIMENTOS
BRASIL PHARMA SA - EM RECUPERAÇÃO JUDICIAL;BRASIL PHARMA SA - EM RECUPERAÇÃO JUDICIAL;ATIVO;22500;FARMACêUTICO E HIGIENE
BRASIL PLURAL SECURITIZADORA S.A.;BRASIL PLURAL SECURITIZADORA S.A.;CANCELADA;22233;SECURITIZAÇÃO DE RECEBÍVEIS
BRASIL SECURITIZADORA S.A.;BRASIL SECURITIZADORA S.A.;ATIVO;24287;SECURITIZAÇÃO DE RECEBÍVEIS
BRASIL TELECOM PARTICIPAÇÕES SA;BRASIL TELECOM PARTICIPAÇÕES SA;CANCELADA;17680;EMP. ADM. PART. - TELECOMUNICAçõES
BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A;BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A;CANCELADA;22705;EMP. ADM. PART. - HOSPEDAGEM E TURISMO
BRASILAGRO CIA BRAS DE PROP AGRICOLAS;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;ATIVO;20036;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
BRASILIANA ENERGIA SA;BRASILIANA ENERGIA SA;CANCELADA;19534;ENERGIA ELÉTRICA
BRASILIANA PARTICIPAÇÕES S.A.;BRASILIANA PARTICIPAÇÕES S.A.;ATIVO;23930;EMP. ADM. PART. - ENERGIA ELéTRICA
BRASILINVEST INFORM.TELEC.S/A;BRASILINVEST INFORM.TELEC.S/A;CANCELADA;1902;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
BRASILIT SA;BRASILIT SA;CANCELADA;1910;EXTRAÇÃO MINERAL
BRASILJUTA SA FIACAO TEC JUTA;BRASILJUTA SA FIACAO TEC JUTA;CANCELADA;1929;TEXTIL E VESTUÁRIO
BRASIMET COM E INDUSTRIA SA;BRASIMET COM E INDUSTRIA SA;CANCELADA;1945;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
BRASKEM S.A.;BRASKEM S.A.;ATIVO;4820;PETROQUíMICOS E BORRACHA
BRASMETAL CIA BRAS METALURGIA;BRASMETAL CIA BRAS METALURGIA;CANCELADA;1961;EMP. ADM. PARTICIPAÇÕES
BRASMOTOR SA;BRASMOTOR SA;CANCELADA;1970;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
BRAUSTAM HOTEIS REIT SA;BRAUSTAM HOTEIS REIT SA;CANCELADA;19399;HOSPEDAGEM E TURISMO
BRAVO SECURITIZADORA S/A;BRAVO SECURITIZADORA S/A;CANCELADA;19674;SECURITIZAÇÃO DE RECEBÍVEIS
