Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
ARGOLIS PARTICIPAÇÕES S/A;ARGOLIS PARTICIPAÇÕES S/A;CANCELADA;18341;EMP. ADM. PART. - TELECOMUNICAçõES
ARMAZENS GERAIS EMPR UNIAO SA;ARMAZENS GERAIS EMPR UNIAO SA;CANCELADA;515;SERVIçOS TRANSPORTE E LOGíSTICA
ARNO SA;ARNO SA;CANCELADA;523;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
ARTEFATOS PAPEL NE SA ARTEPE;ARTEFATOS PAPEL NE SA ARTEPE;CANCELADA;531;OUTRAS ATIVIDADES INDUSTRIAIS
ARTERIS S.A.;ARTERIS S.A.;ATIVO;19771;SERVIçOS TRANSPORTE E LOGíSTICA
ARTHUR LANGE SA IND E COM;ARTHUR LANGE SA IND E COM;CANCELADA;574;TEXTIL E VESTUÁRIO
ASBERIT SA;ASBERIT SA;CANCELADA;582;OUTRAS ATIVIDADES INDUSTRIAIS
ASO METAL SA;ASO METAL SA;CANCELADA;590;METALURGIA E SIDERURGIA
ATACADÃO S.A.;ATACADÃO S.A.;ATIVO;24171;EMP. ADM. PART. - COMéRCIO (ATACADO E VAREJO)
ATIVOS BRASILEIROS S.A.;ATIVOS BRASILEIROS S.A.;CANCELADA;22918;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ATL - ALGAR TELECOM LESTE S.A.;ATL - ALGAR TELECOM LESTE S.A.;CANCELADA;18252;TELECOMUNICAÇÕES
ATLÂNTICA EMPREEND.IMOBILIÁRIOS S/A;ATLÂNTICA EMPREEND.IMOBILIÁRIOS S/A;CANCELADA;17990;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
ATLETAS BRASILEIROS S/A;ATLETAS BRASILEIROS S/A;CANCELADA;22934;BRINQUEDOS E LAZER
ATMA  PARTICIPAÇÕES  S.A.;ATMA  PARTICIPAÇÕES  S.A.;ATIVO;19100;EMP. ADM. PART. - COMUNICAçãO E INFORMáTICA
ATMA SA;ATMA SA;CANCELADA;604;PETROQUíMICOS E BORRACHA
